empresa;estrategias de marketing mais eficientes que mostrem nossa marca para nosso publico alvo;IA e automacoes para auxiliar nas atividades operacionais;desenvolver estrategias de atendimento eficientes;melhorar a comunicacao entre nossos clientes e nossa equipe de atendimento;ambiente integrado para manter as equipes 100 entrosadas;aumento da produtividade da equipe;melhorar a capacitacao das equipes de CRM;reducao no custo de suporte e atendimento ao clientes;aumentar a conversao da loja virtual;potencializar as vendas em canais online como loja virtual whatsapp entre outros;acelerar e aumentar as vendas atraves de dados e ferramentas qualificadas;riqueza de dados para analise integrada do nosso time de vendas;Melhorar a experiencia do cliente com uma equipe de atendimento assertiva por meio de ferramentas eficazes;Mostrar os diferenciais da minha marca para os clientes que desejo objeter;criar jornadas personalizadas na segmentacao dos nossos clientes entendendo quem sao e o que querem;Marketing de oportunidade eficiente base forte e preparada para o mercado ;TARGET
usuario 27;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;CUSTOMER 360 OU STARTER
usuario 28;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;CUSTOMER 360 OU STARTER
usuario 29;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;CUSTOMER 360 OU STARTER
usuario 30;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 31;4;2;1;1;1;2;2;2;1;1;2;2;1;3;3;4;MARKETING
usuario 32;3;1;2;2;2;1;1;1;2;2;1;1;2;4;4;3;MARKETING
usuario 33;3;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;MARKETING
usuario 34;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;MARKETING
usuario 35;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;MARKETING
usuario 36;4;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;MARKETING
usuario 37;4;2;1;1;1;2;2;2;1;1;2;2;1;3;3;4;MARKETING
usuario 38;3;1;2;2;2;1;1;1;2;2;1;1;2;4;4;3;MARKETING
usuario 39;3;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;MARKETING
usuario 40;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;MARKETING
usuario 41;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;MARKETING
usuario 42;4;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;MARKETING
usuario 43;4;2;1;1;1;2;2;2;1;1;2;2;1;3;3;4;MARKETING
usuario 44;3;1;2;2;2;1;1;1;2;2;1;1;2;4;4;3;MARKETING
usuario 45;3;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;MARKETING
usuario 46;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;MARKETING
usuario 47;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;MARKETING
usuario 48;4;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;MARKETING
usuario 49;4;2;1;1;1;2;2;2;1;1;2;2;1;3;3;4;MARKETING
usuario 50;3;1;2;2;2;1;1;1;2;2;1;1;2;4;4;3;MARKETING
usuario 51;3;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;MARKETING
usuario 52;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;MARKETING
usuario 53;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;MARKETING
usuario 54;4;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;MARKETING
usuario 55;4;2;1;1;1;2;2;2;1;1;2;2;1;3;3;4;MARKETING
usuario 56;3;1;2;2;2;1;1;1;2;2;1;1;2;4;4;3;MARKETING
usuario 57;3;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;MARKETING
usuario 58;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;MARKETING
usuario 59;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;MARKETING
usuario 60;4;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;MARKETING
usuario 61;2;4;1;1;3;3;4;2;1;1;2;2;1;2;2;1;SLACK E MULESOFT
usuario 62;1;3;2;2;4;4;3;1;2;2;1;1;2;1;1;2;SLACK E MULESOFT
usuario 63;1;3;1;1;3;3;3;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 64;1;4;1;1;4;4;4;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 65;2;3;2;2;3;3;3;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 66;2;4;2;2;4;4;4;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 67;2;4;1;1;3;3;4;2;1;1;2;2;1;2;2;1;SLACK E MULESOFT
usuario 68;1;3;2;2;4;4;3;1;2;2;1;1;2;1;1;2;SLACK E MULESOFT
usuario 69;1;3;1;1;3;3;3;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 70;1;4;1;1;4;4;4;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 71;2;3;2;2;3;3;3;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 72;2;4;2;2;4;4;4;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 73;2;4;1;1;3;3;4;2;1;1;2;2;1;2;2;1;SLACK E MULESOFT
usuario 74;1;3;2;2;4;4;3;1;2;2;1;1;2;1;1;2;SLACK E MULESOFT
usuario 75;1;3;1;1;3;3;3;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 76;1;4;1;1;4;4;4;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 77;2;3;2;2;3;3;3;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 78;2;4;2;2;4;4;4;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 79;2;4;1;1;3;3;4;2;1;1;2;2;1;2;2;1;SLACK E MULESOFT
usuario 80;1;3;2;2;4;4;3;1;2;2;1;1;2;1;1;2;SLACK E MULESOFT
usuario 81;1;3;1;1;3;3;3;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 82;1;4;1;1;4;4;4;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 83;2;3;2;2;3;3;3;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 84;2;4;2;2;4;4;4;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 85;2;4;1;1;3;3;4;2;1;1;2;2;1;2;2;1;SLACK E MULESOFT
usuario 86;1;3;2;2;4;4;3;1;2;2;1;1;2;1;1;2;SLACK E MULESOFT
usuario 87;1;3;1;1;3;3;3;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 88;1;4;1;1;4;4;4;1;1;1;1;1;1;1;1;1;SLACK E MULESOFT
usuario 89;2;3;2;2;3;3;3;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 90;2;4;2;2;4;4;4;2;2;2;2;2;2;2;2;2;SLACK E MULESOFT
usuario 91;2;1;4;3;1;2;1;4;1;1;2;2;3;2;2;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 92;1;2;3;4;2;1;2;3;2;2;1;1;4;1;1;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 93;1;1;3;3;1;1;1;3;1;1;1;1;3;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 94;1;1;4;4;1;1;1;4;1;1;1;1;4;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 95;2;2;3;3;2;2;2;3;2;2;2;2;3;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 96;2;2;4;4;2;2;2;4;2;2;2;2;4;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 97;2;1;4;3;1;2;1;4;1;1;2;2;3;2;2;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 98;1;2;3;4;2;1;2;3;2;2;1;1;4;1;1;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 99;1;1;3;3;1;1;1;3;1;1;1;1;3;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 100;1;1;4;4;1;1;1;4;1;1;1;1;4;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 101;2;2;3;3;2;2;2;3;2;2;2;2;3;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 102;2;2;4;4;2;2;2;4;2;2;2;2;4;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 103;2;1;4;3;1;2;1;4;1;1;2;2;3;2;2;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 104;1;2;3;4;2;1;2;3;2;2;1;1;4;1;1;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 105;1;1;3;3;1;1;1;3;1;1;1;1;3;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 106;1;1;4;4;1;1;1;4;1;1;1;1;4;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 107;2;2;3;3;2;2;2;3;2;2;2;2;3;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 108;2;2;4;4;2;2;2;4;2;2;2;2;4;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 109;2;1;4;3;1;2;1;4;1;1;2;2;3;2;2;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 110;1;2;3;4;2;1;2;3;2;2;1;1;4;1;1;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 111;1;1;3;3;1;1;1;3;1;1;1;1;3;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 112;1;1;4;4;1;1;1;4;1;1;1;1;4;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 113;2;2;3;3;2;2;2;3;2;2;2;2;3;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 114;2;2;4;4;2;2;2;4;2;2;2;2;4;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 115;2;1;4;3;1;2;1;4;1;1;2;2;3;2;2;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 116;1;2;3;4;2;1;2;3;2;2;1;1;4;1;1;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 117;1;1;3;3;1;1;1;3;1;1;1;1;3;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 118;1;1;4;4;1;1;1;4;1;1;1;1;4;1;1;1;SERVICE  ATENDIMENTO AO CLIENTE
usuario 119;2;2;3;3;2;2;2;3;2;2;2;2;3;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 120;2;2;4;4;2;2;2;4;2;2;2;2;4;2;2;2;SERVICE  ATENDIMENTO AO CLIENTE
usuario 121;2;1;1;2;1;1;1;2;4;3;3;4;2;2;1;2;COMMERCE E VENDAS
usuario 122;1;2;2;1;2;2;2;1;3;4;4;3;1;1;2;1;COMMERCE E VENDAS
usuario 123;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;COMMERCE E VENDAS
usuario 124;1;1;1;1;1;1;1;1;4;4;4;4;1;1;1;1;COMMERCE E VENDAS
usuario 125;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;COMMERCE E VENDAS
usuario 126;2;2;2;2;2;2;2;2;4;4;4;4;2;2;2;2;COMMERCE E VENDAS
usuario 127;2;1;1;2;1;1;1;2;4;3;3;4;2;2;1;2;COMMERCE E VENDAS
usuario 128;1;2;2;1;2;2;2;1;3;4;4;3;1;1;2;1;COMMERCE E VENDAS
usuario 129;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;COMMERCE E VENDAS
usuario 130;1;1;1;1;1;1;1;1;4;4;4;4;1;1;1;1;COMMERCE E VENDAS
usuario 131;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;COMMERCE E VENDAS
usuario 132;2;2;2;2;2;2;2;2;4;4;4;4;2;2;2;2;COMMERCE E VENDAS
usuario 133;2;1;1;2;1;1;1;2;4;3;3;4;2;2;1;2;COMMERCE E VENDAS
usuario 134;1;2;2;1;2;2;2;1;3;4;4;3;1;1;2;1;COMMERCE E VENDAS
usuario 135;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;COMMERCE E VENDAS
usuario 136;1;1;1;1;1;1;1;1;4;4;4;4;1;1;1;1;COMMERCE E VENDAS
usuario 137;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;COMMERCE E VENDAS
usuario 138;2;2;2;2;2;2;2;2;4;4;4;4;2;2;2;2;COMMERCE E VENDAS
usuario 139;2;1;1;2;1;1;1;2;4;3;3;4;2;2;1;2;COMMERCE E VENDAS
usuario 140;1;2;2;1;2;2;2;1;3;4;4;3;1;1;2;1;COMMERCE E VENDAS
usuario 141;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;COMMERCE E VENDAS
usuario 142;1;1;1;1;1;1;1;1;4;4;4;4;1;1;1;1;COMMERCE E VENDAS
usuario 143;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;COMMERCE E VENDAS
usuario 144;2;2;2;2;2;2;2;2;4;4;4;4;2;2;2;2;COMMERCE E VENDAS
usuario 145;2;1;1;2;1;1;1;2;4;3;3;4;2;2;1;2;COMMERCE E VENDAS
usuario 146;1;2;2;1;2;2;2;1;3;4;4;3;1;1;2;1;COMMERCE E VENDAS
usuario 147;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;COMMERCE E VENDAS
usuario 148;1;1;1;1;1;1;1;1;4;4;4;4;1;1;1;1;COMMERCE E VENDAS
usuario 149;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;COMMERCE E VENDAS
usuario 150;2;2;2;2;2;2;2;2;4;4;4;4;2;2;2;2;COMMERCE E VENDAS
